case,file_name,function,lineno,endline,complexity,radon_grade,max_level,n_pycefr_constructs,case_type,top_classes
python-mini-projects,converter.py,converter,19,72,34,E,C2,141,Coincidencia en dificultad alta,"{""Subscript"": 42, ""Simple Atributte"": 23, ""Simple If statements"": 14, ""Simple Assignment"": 13, ""Slice"": 11, ""Boolean Operation"": 9, ""If statements expression (else)"": 6, ""'range' call function"": 5, ""Unary Operation"": 5, ""'break' statement"": 3}"
python-mini-projects,bot.py,on_message,41,171,34,E,C1,180,Coincidencia en dificultad alta,"{""Simple Atributte"": 85, ""Simple If statements"": 24, ""Annotated Assignment"": 20, ""Subscript"": 17, ""Simple Assignment"": 14, ""Boolean Operation"": 5, ""Slice"": 5, ""Simple List"": 2, ""Simple Tuple"": 1, ""Formatted Value"": 1}"
python-mini-projects,main.py,fetch,15,82,17,C,C2,663,Coincidencia en dificultad alta,"{""Simple Atributte"": 263, ""Simple Assignment"": 124, ""Subscript"": 54, ""Print"": 22, ""Function with Simple argument"": 20, ""Simple Tuple"": 17, ""Simple Dictionary"": 15, ""Simple If statements"": 14, ""Files --> 'write' call function"": 12, ""Return"": 10}"
python-mini-projects,hangman.py,play,16,101,16,C,C2,62,Coincidencia en dificultad alta,"{""Print"": 19, ""Simple Assignment"": 12, ""Simple If statements"": 8, ""Simple Atributte"": 7, ""Boolean Operation"": 3, ""Simple List"": 2, ""Simplified incremental Assignment with decrease subtraction"": 2, ""Simple Tuple"": 1, ""'enumerate' call function"": 1, ""Unary Operation"": 1}"
python-mini-projects,tic-tac-toe-AI.py,CompAI,95,124,14,C,C2,33,Coincidencia en dificultad alta,"{""Simple Assignment"": 10, ""Simple If statements"": 4, ""Return"": 4, ""Simple List"": 3, ""List Comprehension with 1If statements"": 3, ""Subscript"": 2, ""Simple Tuple"": 1, ""'enumerate' call function"": 1, ""Boolean Operation"": 1, ""Slice"": 1}"
python-algorithms,avl_tree.py,deleteNode,190,222,14,C,B2,61,Coincidencia en dificultad alta,"{""Simple Atributte"": 24, ""Simple Assignment"": 12, ""Simple If statements"": 9, ""Return"": 8, ""Boolean Operation"": 4, ""Unary Operation"": 3, ""Recursive Functions"": 1}"
python-mini-projects,utils.py,build_dataset,59,80,13,C,C1,37,Coincidencia en dificultad alta,"{""Simple Assignment"": 10, ""Simple List Comprehension"": 9, ""Subscript"": 5, ""Simple If statements"": 3, ""Simple Atributte"": 2, ""Slice"": 2, ""Return"": 2, ""Simple List"": 1, ""Simple Tuple"": 1, ""'raise' exception"": 1}"
python-algorithms,merge_two_binary_trees.py,mergeTreesHelper,9,23,13,C,B2,28,Coincidencia en dificultad alta,"{""Simple Atributte"": 8, ""If statements expression (else)"": 6, ""Boolean Operation"": 3, ""Simple Assignment"": 3, ""Simple If statements"": 3, ""Assigment with sum (total = total + 1)"": 2, ""Return"": 2, ""Recursive Functions"": 1}"
python-algorithms,median_in_sorted_arrays.py,merge_arrays,13,48,12,C,C2,38,Coincidencia en dificultad alta,"{""Simple Assignment"": 12, ""Simple Tuple"": 4, ""Simple If statements"": 4, ""If statements expression (else)"": 2, ""Boolean Operation"": 2, ""Subscript"": 2, ""Simplified incremental Assignment with increase amount"": 2, ""Simple List"": 1, ""'enumerate' call function"": 1, ""Simple Atributte"": 1}"
python-mini-projects,model.py,Model,6,131,11,C,C2,355,Coincidencia en dificultad alta,"{""Simple Atributte"": 209, ""Simple Assignment"": 66, ""Simple List"": 17, ""Simple Tuple"": 15, ""Alias"": 10, ""Unary Operation"": 5, ""Subscript"": 5, ""With"": 5, ""Simple List Comprehension"": 4, ""Simple If statements"": 4}"
python-mini-projects,movieInfoScraper.py,getMovieDetails,7,82,11,C,C1,116,Coincidencia en dificultad alta,"{""Simple Atributte"": 42, ""Simple Assignment"": 27, ""Subscript"": 22, ""Simple Dictionary"": 9, ""Exception --> try/except"": 3, ""Except Handler"": 3, ""Simple List Comprehension"": 2, ""List Comprehension with 1If statements"": 2, ""Assigment with sum (total = total + 1)"": 2, ""Return"": 2}"
python-algorithms,detect_cycle_bfs.py,is_cycle,6,29,11,C,C1,52,Coincidencia en dificultad alta,"{""Simple Assignment"": 9, ""Simple Atributte"": 7, ""Subscript"": 7, ""Simple If statements"": 5, ""Simple For Loop"": 4, ""Return"": 4, ""Simple List"": 3, ""'range' call function"": 3, ""Function with Simple argument"": 2, ""Simple Tuple"": 1}"
python-algorithms,minimum_height_trees.py,findMinHeightTrees,2,35,11,C,C1,46,Coincidencia en dificultad alta,"{""Subscript"": 10, ""Simple Assignment"": 7, ""Simple Atributte"": 5, ""'range' call function"": 3, ""Simple If statements"": 3, ""Simple For Loop"": 3, ""Simple List"": 2, ""Simple Tuple"": 2, ""Simple Dictionary Comprehension"": 2, ""Simplified incremental Assignment with increase amount"": 2}"
python-algorithms,task_scheduling_order.py,find_order,12,46,11,C,C1,43,Coincidencia en dificultad alta,"{""Subscript"": 8, ""Simple Assignment"": 6, ""Simple Atributte"": 5, ""Simple List"": 4, ""Simple If statements"": 4, ""Simple For Loop"": 3, ""Return"": 3, ""Simple Tuple"": 2, ""'range' call function"": 2, ""Simple Dictionary Comprehension"": 2}"
python-algorithms,course_scheduling_order.py,find_order,12,46,11,C,C1,43,Coincidencia en dificultad alta,"{""Subscript"": 8, ""Simple Assignment"": 6, ""Simple Atributte"": 5, ""Simple List"": 4, ""Simple If statements"": 4, ""Simple For Loop"": 3, ""Return"": 3, ""Simple Tuple"": 2, ""'range' call function"": 2, ""Simple Dictionary Comprehension"": 2}"
python-algorithms,topological_sort.py,topological_sort,13,48,11,C,C1,43,Coincidencia en dificultad alta,"{""Subscript"": 8, ""Simple Assignment"": 6, ""Simple Atributte"": 5, ""Simple List"": 4, ""Simple If statements"": 4, ""Simple For Loop"": 3, ""Return"": 3, ""Simple Tuple"": 2, ""'range' call function"": 2, ""Simple Dictionary Comprehension"": 2}"
python-algorithms,find_cycle.py,topological_sort,13,47,11,C,C1,42,Coincidencia en dificultad alta,"{""Subscript"": 8, ""Simple Assignment"": 6, ""Simple Atributte"": 5, ""Simple If statements"": 4, ""Simple List"": 3, ""Simple For Loop"": 3, ""Return"": 3, ""Simple Tuple"": 2, ""'range' call function"": 2, ""Simple Dictionary Comprehension"": 2}"
python-algorithms,delete_bst_node.py,delete_node,5,26,11,C,B2,48,Coincidencia en dificultad alta,"{""Simple Atributte"": 22, ""Simple Assignment"": 6, ""Simple If statements"": 6, ""Return"": 5, ""Unary Operation"": 4, ""Boolean Operation"": 3, ""While with Else Loop"": 1, ""Recursive Functions"": 1}"
python-algorithms,delete_bst_node.py,delete_node_2,32,53,11,C,B2,48,Coincidencia en dificultad alta,"{""Simple Atributte"": 22, ""Simple Assignment"": 6, ""Simple If statements"": 6, ""Return"": 5, ""Unary Operation"": 4, ""Boolean Operation"": 3, ""While with Else Loop"": 1, ""Recursive Functions"": 1}"
python-algorithms,avl_tree.py,insertNode,158,183,11,C,B2,46,Coincidencia en dificultad alta,"{""Simple Atributte"": 20, ""Simple If statements"": 6, ""Return"": 6, ""Simple Assignment"": 5, ""Boolean Operation"": 4, ""Unary Operation"": 3, ""Assigment with sum (total = total + 1)"": 1, ""Recursive Functions"": 1}"
python-mini-projects,model.py,__init__,7,131,10,B,C2,351,Coincidencia en dificultad alta,"{""Simple Atributte"": 209, ""Simple Assignment"": 66, ""Simple List"": 17, ""Simple Tuple"": 15, ""Alias"": 8, ""Unary Operation"": 5, ""Subscript"": 5, ""With"": 5, ""Simple List Comprehension"": 4, ""Simple If statements"": 4}"
python-mini-projects,alarm.py,set_alarm,18,66,10,B,C2,69,Coincidencia en dificultad alta,"{""Simple Atributte"": 16, ""Simple Assignment"": 15, ""Print"": 9, ""Formatted Value"": 6, ""Joined String"": 4, ""Subscript"": 4, ""Simple If statements"": 4, ""While with Else Loop"": 3, ""Simple Tuple"": 1, ""'map' call function"": 1}"
Analisis-CC-PyCEFR,generator.py,extract_records,206,248,10,B,C1,50,Coincidencia en dificultad alta,"{""Simple If statements"": 10, ""Simple Assignment"": 8, ""Simple Atributte"": 5, ""Simple Tuple"": 4, ""Subscript"": 4, ""Simple For Loop"": 3, ""Return"": 3, ""Unary Operation"": 2, ""Boolean Operation"": 2, ""For Loop with Tuple as name"": 2}"
python-algorithms,topological_sort_bfs.py,topological_sort,13,45,10,B,C1,40,Coincidencia en dificultad alta,"{""Subscript"": 8, ""Simple Assignment"": 6, ""Simple Atributte"": 5, ""Simple List"": 3, ""Simple If statements"": 3, ""Simple For Loop"": 3, ""Simple Tuple"": 2, ""'range' call function"": 2, ""Simple Dictionary Comprehension"": 2, ""Return"": 2}"
python-algorithms,course_scheduling.py,is_scheduling_possible,14,48,10,B,C1,39,Coincidencia en dificultad alta,"{""Subscript"": 8, ""Simple Assignment"": 6, ""Simple Atributte"": 5, ""Simple If statements"": 3, ""Simple For Loop"": 3, ""Simple List"": 2, ""Simple Tuple"": 2, ""'range' call function"": 2, ""Simple Dictionary Comprehension"": 2, ""Return"": 2}"
python-algorithms,task_scheduling.py,is_scheduling_possible,14,48,10,B,C1,39,Coincidencia en dificultad alta,"{""Subscript"": 8, ""Simple Assignment"": 6, ""Simple Atributte"": 5, ""Simple If statements"": 3, ""Simple For Loop"": 3, ""Simple List"": 2, ""Simple Tuple"": 2, ""'range' call function"": 2, ""Simple Dictionary Comprehension"": 2, ""Return"": 2}"
python-algorithms,bfs_khans_algorithm.py,top_sort,3,25,10,B,C1,32,Coincidencia en dificultad alta,"{""Subscript"": 6, ""Simple Assignment"": 5, ""Simple Atributte"": 4, ""Simple For Loop"": 3, ""Simple List"": 2, ""'range' call function"": 2, ""Simple If statements"": 2, ""If statements expression (else)"": 1, ""Simple Dictionary Comprehension"": 1, ""Simplified incremental Assignment with increase amount"": 1}"
python-algorithms,lca.py,lca,6,37,10,B,B2,67,Coincidencia en dificultad alta,"{""Simple Assignment"": 17, ""Simple Atributte"": 13, ""Return"": 8, ""Simple Tuple"": 8, ""Simple If statements"": 7, ""Boolean Operation"": 3, ""Function with Simple argument"": 2, ""Unary Operation"": 2, ""While with Else Loop"": 2, ""Simple List"": 1}"
Analisis-CC-PyCEFR,generator.py,walk,228,245,10,B,B2,18,Coincidencia en dificultad alta,"{""Simple If statements"": 5, ""Simple Assignment"": 4, ""Simple Atributte"": 2, ""Boolean Operation"": 2, ""Simple Tuple"": 1, ""For Loop with Tuple as name"": 1, ""Simple For Loop"": 1, ""Recursive Functions"": 1, ""Return"": 1}"
python-algorithms,search_maze.py,search_maze_helper,4,22,9,B,B2,28,Coincidencia en dificultad alta,"{""Subscript"": 6, ""Simple List"": 4, ""Return"": 4, ""Simple Assignment"": 3, ""Simple If statements"": 3, ""Unary Operation"": 2, ""Boolean Operation"": 2, ""Simple Tuple"": 1, ""Simple Atributte"": 1, ""Delete"": 1}"
